training_iteration,timesteps_total,reward
40,1061632,0.0
80,2076416,-0.3333333333333333
120,3090688,-2.6666666666666665
160,4104192,-2.3333333333333335
200,5120512,1.0
240,6135808,-0.6666666666666666
280,7147776,-1.6666666666666667
320,8166912,0.3333333333333333
360,9182208,-5.666666666666667
400,10195968,-1.0
440,11213056,0.6666666666666666
480,12225536,-0.6666666666666666
520,13240064,0.6666666666666666
560,14255104,0.6666666666666666
600,15269632,0.6666666666666666
640,16282112,-1.6666666666666667
680,17295616,-1.6666666666666667
720,18308864,-4.0
760,19322112,-1.6666666666666667
800,20336384,4.666666666666667
840,21349376,-1.6666666666666667
880,22361088,-3.0
920,23378944,-0.3333333333333333
960,24391424,-1.3333333333333333
1000,25405696,-1.0
1040,26422528,1.6666666666666667
1080,27436288,-1.3333333333333333
1120,28450048,-0.6666666666666666
1160,29465344,-5.333333333333333
1200,30477568,2.0
1240,31493632,-0.6666666666666666
1280,32508416,1.6666666666666667
1320,33518848,-2.3333333333333335
1360,34531840,-1.6666666666666667
1400,35545088,-3.3333333333333335
1440,36556288,0.6666666666666666
1480,37570304,0.6666666666666666
1520,38585088,-0.6666666666666666
1560,39597312,-0.6666666666666666
1600,40613376,1.0
1640,41629440,-1.6666666666666667
1680,42641664,0.0
1720,43655680,0.3333333333333333
1760,44670720,0.0
1800,45686528,2.6666666666666665
1840,46698752,3.0
1880,47709696,0.3333333333333333
1920,48720896,-0.6666666666666666
1960,49736960,-1.6666666666666667
2000,50752000,-2.0
