training_iteration,timesteps_total,reward
40,1067008,1.5
80,2084352,-0.5
120,3101184,-1.1
160,4116992,-1.7
200,5130752,0.0
240,6147328,-0.1
280,7161344,1.4
320,8176896,0.4
360,9191168,-2.9
400,10209024,-0.6
440,11224832,0.7
480,12245760,1.4
520,13263872,-0.4
560,14277632,0.8
600,15292928,-0.6
640,16307200,-0.7
680,17319680,-0.7
720,18334720,0.7
760,19347968,-1.7
800,20359936,0.5
840,21370368,-0.4
880,22383360,-0.1
920,23394048,-0.8
960,24405248,1.7
1000,25413888,-0.3
1040,26426112,-0.1
1080,27438080,-0.8
1120,28449024,0.6
1160,29458176,-0.4
1200,30468352,0.1
1240,31480320,0.1
1280,32489728,0.4
1320,33499392,-0.7
1360,34510080,-1.1
1400,35521280,-0.9
1440,36530432,-0.1
1480,37539584,0.6
1520,38550528,-1.6
1560,39562240,1.6
1600,40572672,-2.1
1640,41583360,0.3
1680,42596096,0.0
1720,43607296,0.0
1760,44623104,1.0
1800,45633536,-1.2
1840,46642944,1.1
1880,47653376,-0.7
1920,48664576,-0.1
1960,49674752,1.4
2000,50684672,-0.9
