training_iteration,timesteps_total,reward
40,1061632,-0.3333333333333333
80,2074880,-0.0967741935483871
120,3093760,-0.14285714285714285
160,4113664,0.03278688524590164
200,5132544,-0.5689655172413793
240,6147584,0.06779661016949153
280,7162624,-0.21666666666666667
320,8183296,-0.5692307692307692
360,9201664,0.328125
400,10220288,0.26666666666666666
440,11232768,-0.03225806451612903
480,12250880,-0.08196721311475409
520,13269504,-0.4666666666666667
560,14284800,0.2
600,15300352,-0.0847457627118644
640,16317184,-0.36507936507936506
680,17334528,0.4098360655737705
720,18351104,-0.046153846153846156
760,19365376,-0.27419354838709675
800,20378624,0.07407407407407407
840,21389824,-0.06666666666666667
880,22403840,-0.016666666666666666
920,23416832,0.18333333333333332
960,24429312,-0.3050847457627119
1000,25443328,0.14285714285714285
1040,26456064,-0.2459016393442623
1080,27468288,0.11666666666666667
1120,28481536,-0.3559322033898305
1160,29497344,-0.21311475409836064
1200,30512896,-0.4576271186440678
1240,31524096,0.034482758620689655
1280,32538624,0.5
1320,33552128,-0.06896551724137931
1360,34571520,-0.03508771929824561
1400,35583744,0.047619047619047616
1440,36598016,0.15
1480,37614336,0.06666666666666667
1520,38629120,-0.3
1560,39640832,-0.27586206896551724
1600,40653312,0.01694915254237288
1640,41668608,0.06557377049180328
1680,42681344,0.08333333333333333
1720,43696896,-0.08620689655172414
1760,44709120,-0.18032786885245902
1800,45723648,0.0
1840,46739968,-0.21666666666666667
1880,47752448,-0.6721311475409836
1920,48763648,0.03278688524590164
1960,49776128,0.03278688524590164
2000,50789376,0.08333333333333333
