training_iteration,timesteps_total,reward
40,1055488,0.0
80,2064128,5.0
120,3071744,10.0
160,4079872,5.0
200,5088768,0.0
240,6097664,0.0
280,7104000,5.0
320,8110336,0.0
360,9118976,0.0
400,10127360,5.0
440,11134720,5.0
480,12144128,0.0
520,13153024,0.0
560,14159104,0.0
600,15166208,10.0
640,16174336,5.0
680,17180672,5.0
720,18187776,5.0
760,19195904,5.0
800,20207360,5.0
840,21217024,0.0
880,22226432,10.0
920,23233536,0.0
960,24239360,10.0
1000,25246208,5.0
1040,26252800,0.0
1080,27258368,10.0
1120,28267264,5.0
1160,29274880,5.0
1200,30283776,5.0
1240,31293696,5.0
1280,32303872,5.0
1320,33314816,5.0
1360,34323968,5.0
1400,35332096,5.0
1440,36340736,0.0
1480,37350656,0.0
1520,38362368,5.0
1560,39373312,5.0
1600,40382976,5.0
1640,41392128,5.0
1680,42403072,0.0
1720,43413248,10.0
1760,44423168,0.0
1800,45432320,0.0
1840,46441728,0.0
1880,47448064,19.0
1920,48456960,0.0
1960,49466880,0.0
2000,50476288,0.0
