training_iteration,timesteps_total,reward
40,1058304,-0.34782608695652173
80,2064128,-0.40816326530612246
120,3069952,-0.42857142857142855
160,4076288,-0.5777777777777777
200,5082624,-0.375
240,6088448,-0.4318181818181818
280,7096832,-0.4666666666666667
320,8102656,-0.5909090909090909
360,9109248,-0.5789473684210527
400,10115584,-0.425
440,11121664,-0.3333333333333333
480,12127232,-0.40476190476190477
520,13134080,-0.39215686274509803
560,14140160,-0.6
600,15146496,-0.5555555555555556
640,16152320,-0.6041666666666666
680,17158656,-0.5813953488372093
720,18167040,-0.5609756097560976
760,19174912,-0.5813953488372093
800,20182016,-0.41304347826086957
840,21189120,-0.44545454545454544
880,22195712,-0.5609756097560976
920,23204352,-0.625
960,24212992,-0.4883720930232558
1000,25218816,-0.5116279069767442
1040,26225664,-0.5581395348837209
1080,27233024,-0.44680851063829785
1120,28240128,-0.5111111111111111
1160,29245952,-0.44680851063829785
1200,30251520,-0.3829787234042553
1240,31259904,-0.5
1280,32266240,-0.5217391304347826
1320,33274624,-0.4878048780487805
1360,34283520,-0.4883720930232558
1400,35290368,-0.5531914893617021
1440,36296960,-0.5476190476190477
1480,37303808,-0.3953488372093023
1520,38311168,-0.6904761904761905
1560,39317248,-0.5853658536585366
1600,40324608,-0.6521739130434783
1640,41332224,-0.46153846153846156
1680,42340352,-0.4222222222222222
1720,43346944,-0.5217391304347826
1760,44353792,-0.5348837209302325
1800,45360384,-0.49019607843137253
1840,46366720,-0.5348837209302325
1880,47372544,-0.45652173913043476
1920,48379392,-0.6097560975609756
1960,49385984,-0.4318181818181818
2000,50392320,-0.28888888888888886
