training_iteration,timesteps_total,reward
40,1000000,-1.8275862068965518
80,2000000,-3.1724137931034484
120,3000000,-0.9655172413793104
160,4000000,-1.896551724137931
200,5000000,-3.310344827586207
240,6000000,-6.241379310344827
280,7000000,-6.103448275862069
320,8000000,-2.413793103448276
360,9000000,-2.9310344827586206
400,10000000,-0.41379310344827586
440,11000000,-0.27586206896551724
480,12000000,-4.137931034482759
520,13000000,-2.103448275862069
560,14000000,-0.6896551724137931
600,15000000,0.6551724137931034
640,16000000,1.7241379310344827
680,17000000,10.413793103448276
720,18000000,2.206896551724138
760,19000000,4.586206896551724
800,20000000,3.1724137931034484
840,21000000,14.724137931034482
880,22000000,7.896551724137931
920,23000000,4.724137931034483
960,24000000,24.586206896551722
1000,25000000,7.172413793103448
1040,26000000,2.689655172413793
1080,27000000,10.275862068965518
1120,28000000,14.310344827586206
1160,29000000,23.862068965517242
1200,30000000,21.551724137931036
1240,31000000,9.620689655172415
1280,32000000,8.448275862068966
1320,33000000,42.833333333333336
1360,34000000,35.4
1400,35000000,51.18181818181818
1440,36000000,43.06896551724138
1480,37000000,19.448275862068964
1520,38000000,25.24137931034483
1560,39000000,39.088235294117645
1600,40000000,18.466666666666665
1640,41000000,17.413793103448278
1680,42000000,81.8
1720,43000000,21.366666666666667
1760,44000000,44.45454545454545
1800,45000000,46.875
1840,46000000,80.6470588235294
1880,47000000,80.3
1920,48000000,32.371428571428574
1960,49000000,-1.5172413793103448
2000,50000000,78.42105263157895
2040,51000000,18.482758620689655
2080,52000000,18.79310344827586
2120,53000000,68.81818181818181
2160,54000000,20.17241379310345
2200,55000000,78.85365853658537
2240,56000000,40.6764705882353
2280,57000000,78.69047619047619
2320,58000000,-4.0
2360,59000000,44.857142857142854
2400,60000000,63.68292682926829
2440,61000000,80.12244897959184
2480,62000000,49.65714285714286
2520,63000000,46.375
2560,64000000,59.256410256410255
2600,65000000,40.55882352941177
2640,66000000,67.85
2680,67000000,25.5
2720,68000000,19.125
2760,69000000,68.3125
2800,70000000,68.325
2840,71000000,92.22077922077922
2880,72000000,77.67307692307692
2920,73000000,90.48101265822785
2960,74000000,63.6
3000,75000000,84.13461538461539
3040,76000000,94.20212765957447
3080,77000000,80.1923076923077
3120,78000000,49.1
3160,79000000,52.630434782608695
3200,80000000,85.51282051282051
3240,81000000,88.97619047619048
3280,82000000,92.28421052631579
3320,83000000,94.05434782608695
3360,84000000,65.36111111111111
3400,85000000,90.77380952380952
