training_iteration,timesteps_total,reward
40,1000000,0.9
80,2000000,0.1
120,3000000,1.2
160,4000000,0.2
200,5000000,-0.3
240,6000000,0.1
280,7000000,-2.5
320,8000000,-4.8
360,9000000,-2.0
400,10000000,3.3
440,11000000,0.2
480,12000000,0.4
520,13000000,1.1
560,14000000,-0.3
600,15000000,1.3
640,16000000,0.8
680,17000000,0.0
720,18000000,0.8
760,19000000,1.3
800,20000000,-0.1
840,21000000,0.9
880,22000000,1.1
920,23000000,0.0
960,24000000,-1.5
1000,25000000,-1.9
1040,26000000,-1.0
1080,27000000,0.2
1120,28000000,-0.8
1160,29000000,1.4
1200,30000000,0.9
1240,31000000,0.8
1280,32000000,1.0
1320,33000000,-0.6
1360,34000000,-2.2
1400,35000000,-2.0
1440,36000000,-0.6
1480,37000000,-2.1
1520,38000000,1.1
1560,39000000,0.1
1600,40000000,1.2
1640,41000000,-0.7
1680,42000000,0.0
1720,43000000,0.8
1760,44000000,0.8
1800,45000000,-0.6
1840,46000000,-1.2
1880,47000000,0.5
1920,48000000,-0.9
1960,49000000,0.0
2000,50000000,1.3
