training_iteration,timesteps_total,reward
40,1000000,0.08
80,2000000,0.12
120,3000000,-0.56
160,4000000,0.64
200,5000000,0.24
240,6000000,0.0
280,7000000,0.08
320,8000000,-0.16
360,9000000,-0.08
400,10000000,-0.64
440,11000000,0.44
480,12000000,0.48
520,13000000,0.2
560,14000000,0.2
600,15000000,-0.32
640,16000000,0.04
680,17000000,-0.88
720,18000000,0.12
760,19000000,-0.44
800,20000000,0.12
840,21000000,-0.32
880,22000000,-0.32
920,23000000,-0.72
960,24000000,0.44
1000,25000000,-0.4
1040,26000000,-0.6
1080,27000000,0.0
1120,28000000,-1.16
1160,29000000,-0.36
1200,30000000,-0.36
1240,31000000,-0.44
1280,32000000,-0.2
1320,33000000,1.24
1360,34000000,-1.2
1400,35000000,-0.68
1440,36000000,-0.68
1480,37000000,-0.04
1520,38000000,0.04
1560,39000000,-0.56
1600,40000000,-0.68
1640,41000000,-0.28
1680,42000000,-0.24
1720,43000000,0.32
1760,44000000,-0.84
1800,45000000,-0.52
1840,46000000,-0.76
1880,47000000,0.12
1920,48000000,-0.64
1960,49000000,-0.96
2000,50000000,-0.88
2040,51000000,0.88
2080,52000000,-1.52
2120,53000000,-0.76
2160,54000000,-0.6
2200,55000000,0.16
2240,56000000,-0.56
2280,57000000,-1.32
2320,58000000,-0.36
2360,59000000,0.12
2400,60000000,-0.16
2440,61000000,-0.56
2480,62000000,-1.0
2520,63000000,-0.88
2560,64000000,-1.24
2600,65000000,-0.28
2640,66000000,-0.48
2680,67000000,-0.16
2720,68000000,-0.88
2760,69000000,0.08
2800,70000000,-0.76
2840,71000000,-0.32
2880,72000000,-0.84
2920,73000000,-0.32
2960,74000000,-0.56
3000,75000000,2.08
3040,76000000,-0.64
3080,77000000,-0.16
3120,78000000,0.0
3160,79000000,-0.72
3200,80000000,-0.24
3240,81000000,-0.48
3280,82000000,-0.72
3320,83000000,-0.48
3360,84000000,-0.08
3400,85000000,-0.76
