training_iteration,timesteps_total,reward
40,1000000,0.4
80,2000000,0.4
120,3000000,-0.8
160,4000000,-1.2
200,5000000,-3.2
240,6000000,-0.8
280,7000000,0.0
320,8000000,-0.8
360,9000000,0.8
400,10000000,1.6
440,11000000,0.8
480,12000000,0.4
520,13000000,-22.46153846153846
560,14000000,0.8
600,15000000,-0.4
640,16000000,0.0
680,17000000,-4.8
720,18000000,2.857142857142857
760,19000000,-18.307692307692307
800,20000000,0.4
840,21000000,-1.2
880,22000000,-1.6
920,23000000,6.5
960,24000000,11.25
1000,25000000,5.2
1040,26000000,-0.4
1080,27000000,0.8
1120,28000000,-7.666666666666667
1160,29000000,7.428571428571429
1200,30000000,1.3333333333333333
1240,31000000,0.0
1280,32000000,4.0
1320,33000000,2.0
1360,34000000,3.6666666666666665
1400,35000000,6.4
1440,36000000,3.2
1480,37000000,-0.3333333333333333
1520,38000000,-4.222222222222222
1560,39000000,0.8
1600,40000000,-6.4
1640,41000000,12.875
1680,42000000,7.777777777777778
1720,43000000,-8.0
1760,44000000,0.8
1800,45000000,0.4
1840,46000000,-7.6
1880,47000000,-1.6
1920,48000000,0.0
1960,49000000,3.6666666666666665
2000,50000000,-11.25
2040,51000000,-1.7142857142857142
2080,52000000,2.4
2120,53000000,-0.4
2160,54000000,0.8
2200,55000000,0.8
2240,56000000,-0.8
2280,57000000,11.571428571428571
2320,58000000,11.466666666666667
2360,59000000,2.0
2400,60000000,-1.5555555555555556
2440,61000000,1.1111111111111112
2480,62000000,3.3333333333333335
2520,63000000,4.8
2560,64000000,4.181818181818182
2600,65000000,3.4285714285714284
2640,66000000,2.0
2680,67000000,11.11111111111111
2720,68000000,-9.714285714285714
2760,69000000,-0.4
2800,70000000,0.0
2840,71000000,12.461538461538462
2880,72000000,-16.727272727272727
2920,73000000,1.6
2960,74000000,0.8
3000,75000000,3.090909090909091
3040,76000000,2.8
3080,77000000,1.6
3120,78000000,4.222222222222222
3160,79000000,0.5
3200,80000000,11.692307692307692
3240,81000000,12.666666666666666
3280,82000000,4.0
3320,83000000,-0.4
3360,84000000,1.3333333333333333
3400,85000000,-3.5
