training_iteration,timesteps_total,reward
40,1000000,2.7662337662337664
80,2000000,2.5223880597014925
120,3000000,2.9863013698630136
160,4000000,2.973684210526316
200,5000000,2.7083333333333335
240,6000000,2.911392405063291
280,7000000,2.657142857142857
320,8000000,2.732394366197183
360,9000000,2.9315068493150687
400,10000000,2.573529411764706
440,11000000,2.8157894736842106
480,12000000,2.925
520,13000000,2.642857142857143
560,14000000,2.9594594594594597
600,15000000,2.6666666666666665
640,16000000,2.891891891891892
680,17000000,2.8552631578947367
720,18000000,2.4242424242424243
760,19000000,1.0677966101694916
800,20000000,2.948717948717949
840,21000000,2.92
880,22000000,1.5081967213114753
920,23000000,2.704225352112676
960,24000000,2.961038961038961
1000,25000000,2.3970588235294117
1040,26000000,1.6818181818181819
1080,27000000,2.923076923076923
1120,28000000,2.9210526315789473
1160,29000000,2.904109589041096
1200,30000000,1.9672131147540983
1240,31000000,2.973684210526316
1280,32000000,2.9466666666666668
1320,33000000,2.909090909090909
1360,34000000,2.8115942028985508
1400,35000000,2.8219178082191783
1440,36000000,2.7
1480,37000000,2.9027777777777777
1520,38000000,2.973333333333333
1560,39000000,2.588235294117647
1600,40000000,2.7972972972972974
1640,41000000,2.8933333333333335
1680,42000000,2.8493150684931505
1720,43000000,2.390625
1760,44000000,2.8378378378378377
1800,45000000,2.7837837837837838
1840,46000000,2.476923076923077
1880,47000000,2.9066666666666667
1920,48000000,2.96
1960,49000000,2.9466666666666668
2000,50000000,2.8333333333333335
