training_iteration,timesteps_total,reward
40,1000000,0.04285714285714286
80,2000000,0.013157894736842105
120,3000000,0.11428571428571428
160,4000000,0.14864864864864866
200,5000000,0.08108108108108109
240,6000000,0.06756756756756757
280,7000000,0.09210526315789473
320,8000000,0.06756756756756757
360,9000000,0.09859154929577464
400,10000000,0.05405405405405406
440,11000000,0.07042253521126761
480,12000000,0.06578947368421052
520,13000000,0.04054054054054054
560,14000000,0.07352941176470588
600,15000000,0.0958904109589041
640,16000000,0.06944444444444445
680,17000000,0.1095890410958904
720,18000000,0.0958904109589041
760,19000000,0.12162162162162163
800,20000000,0.09210526315789473
840,21000000,0.05333333333333334
880,22000000,0.1095890410958904
920,23000000,0.07575757575757576
960,24000000,0.10526315789473684
1000,25000000,0.09210526315789473
1040,26000000,0.02702702702702703
1080,27000000,0.025974025974025976
1120,28000000,0.1791044776119403
1160,29000000,0.06944444444444445
1200,30000000,0.056338028169014086
1240,31000000,0.1232876712328767
1280,32000000,0.05333333333333334
1320,33000000,0.04
1360,34000000,0.05333333333333334
1400,35000000,0.10294117647058823
1440,36000000,0.06944444444444445
1480,37000000,0.06493506493506493
1520,38000000,0.041666666666666664
1560,39000000,0.08450704225352113
1600,40000000,0.0821917808219178
1640,41000000,0.11267605633802817
1680,42000000,0.06944444444444445
1720,43000000,0.11594202898550725
1760,44000000,0.15
1800,45000000,0.08571428571428572
1840,46000000,0.05405405405405406
1880,47000000,0.05555555555555555
1920,48000000,0.04225352112676056
1960,49000000,0.0945945945945946
2000,50000000,0.08
