training_iteration,timesteps_total,reward
40,1000000,5.0
80,2000000,0.0
120,3000000,5.0
160,4000000,0.0
200,5000000,1.0
240,6000000,2.0
280,7000000,0.0
320,8000000,0.0
360,9000000,3.0
400,10000000,0.0
440,11000000,1.0
480,12000000,5.0
520,13000000,0.0
560,14000000,0.0
600,15000000,0.0
640,16000000,1.0
680,17000000,4.0
720,18000000,3.0
760,19000000,0.0
800,20000000,3.0
840,21000000,2.0
880,22000000,1.0
920,23000000,5.0
960,24000000,2.0
1000,25000000,5.0
1040,26000000,4.0
1080,27000000,6.0
1120,28000000,1.0
1160,29000000,0.0
1200,30000000,6.0
1240,31000000,0.0
1280,32000000,0.0
1320,33000000,5.0
1360,34000000,2.0
1400,35000000,4.0
1440,36000000,5.0
1480,37000000,3.0
1520,38000000,5.0
1560,39000000,0.0
1600,40000000,2.0
1640,41000000,1.8
1680,42000000,0.0
1720,43000000,3.0
1760,44000000,5.0
1800,45000000,2.0
1840,46000000,0.0
1880,47000000,5.0
1920,48000000,4.0
1960,49000000,0.0
2000,50000000,5.0
2040,51000000,1.0
2080,52000000,5.0
2120,53000000,1.0
2160,54000000,0.0
2200,55000000,0.0
2240,56000000,5.0
2280,57000000,5.0
2320,58000000,0.0
2360,59000000,0.0
2400,60000000,1.0
2440,61000000,0.0
2480,62000000,0.0
2520,63000000,1.0
2560,64000000,5.0
2600,65000000,1.0
2640,66000000,0.0
2680,67000000,0.0
2720,68000000,7.0
2760,69000000,6.0
2800,70000000,5.0
2840,71000000,6.0
2880,72000000,0.0
2920,73000000,0.0
2960,74000000,5.0
3000,75000000,4.0
3040,76000000,0.0
3080,77000000,0.0
3120,78000000,0.0
3160,79000000,3.0
3200,80000000,2.0
3240,81000000,0.0
3280,82000000,0.0
3320,83000000,0.0
3360,84000000,3.0
3400,85000000,4.0
