training_iteration,timesteps_total,reward
40,1000000,0.0
80,2000000,-0.75
120,3000000,-1.75
160,4000000,-1.1428571428571428
200,5000000,1.0
240,6000000,-0.625
280,7000000,-0.25
320,8000000,1.5714285714285714
360,9000000,0.42857142857142855
400,10000000,-1.1428571428571428
440,11000000,-0.25
480,12000000,-1.0
520,13000000,-0.75
560,14000000,-1.25
600,15000000,-1.4285714285714286
640,16000000,-0.25
680,17000000,1.25
720,18000000,2.0
760,19000000,-0.625
800,20000000,-1.7142857142857142
840,21000000,-1.4285714285714286
880,22000000,0.375
920,23000000,0.0
960,24000000,0.7142857142857143
1000,25000000,0.75
1040,26000000,-0.375
1080,27000000,-0.25
1120,28000000,-0.25
1160,29000000,-2.7142857142857144
1200,30000000,0.2857142857142857
1240,31000000,-0.625
1280,32000000,-1.2857142857142858
1320,33000000,-0.625
1360,34000000,-1.75
1400,35000000,0.8571428571428571
1440,36000000,-0.625
1480,37000000,0.375
1520,38000000,-1.5714285714285714
1560,39000000,-0.875
1600,40000000,0.0
1640,41000000,-0.8571428571428571
1680,42000000,-1.0
1720,43000000,-0.14285714285714285
1760,44000000,0.125
1800,45000000,-0.75
1840,46000000,-1.875
1880,47000000,0.7142857142857143
1920,48000000,0.7142857142857143
1960,49000000,1.1428571428571428
2000,50000000,1.0
