training_iteration,timesteps_total,reward
40,1000000,4867.5
80,2000000,3023.809523809524
120,3000000,3605.0
160,4000000,3415.0
200,5000000,3930.0
240,6000000,3547.0588235294117
280,7000000,4077.5
320,8000000,4530.952380952381
360,9000000,3652.5
400,10000000,3363.8888888888887
440,11000000,3138.6363636363635
480,12000000,3619.0476190476193
520,13000000,3726.190476190476
560,14000000,3625.0
600,15000000,2660.0
640,16000000,3447.222222222222
680,17000000,3105.0
720,18000000,1875.0
760,19000000,4033.3333333333335
800,20000000,2890.909090909091
840,21000000,3939.4736842105262
880,22000000,4511.111111111111
920,23000000,2607.5
960,24000000,3097.3684210526317
1000,25000000,3291.6666666666665
1040,26000000,4523.684210526316
1080,27000000,3991.6666666666665
1120,28000000,2885.714285714286
1160,29000000,3566.6666666666665
1200,30000000,3380.5555555555557
1240,31000000,3366.6666666666665
1280,32000000,3436.1111111111113
1320,33000000,2807.8947368421054
1360,34000000,3685.0
1400,35000000,4268.75
1440,36000000,4430.0
1480,37000000,3572.222222222222
1520,38000000,3166.6666666666665
1560,39000000,3692.1052631578946
1600,40000000,3508.3333333333335
1640,41000000,3480.0
1680,42000000,3441.6666666666665
1720,43000000,3323.809523809524
1760,44000000,3491.176470588235
1800,45000000,3473.684210526316
1840,46000000,2844.4444444444443
1880,47000000,2444.7368421052633
1920,48000000,3323.684210526316
1960,49000000,3019.0476190476193
2000,50000000,1916.6666666666667
