training_iteration,timesteps_total,reward
40,1000000,-0.3157894736842105
80,2000000,-0.28205128205128205
120,3000000,-0.3333333333333333
160,4000000,-0.28205128205128205
200,5000000,-0.3333333333333333
240,6000000,-0.2631578947368421
280,7000000,-0.3684210526315789
320,8000000,-0.5526315789473685
360,9000000,-0.2
400,10000000,-0.3157894736842105
440,11000000,-0.3695652173913043
480,12000000,-0.3076923076923077
520,13000000,-0.1956521739130435
560,14000000,-0.25
600,15000000,-0.35
640,16000000,-0.46153846153846156
680,17000000,-0.46153846153846156
720,18000000,-0.375
760,19000000,-0.18604651162790697
800,20000000,-0.3333333333333333
840,21000000,-0.2894736842105263
880,22000000,-0.37777777777777777
920,23000000,-0.275
960,24000000,-0.18421052631578946
1000,25000000,-0.2619047619047619
1040,26000000,-0.2926829268292683
1080,27000000,-0.2631578947368421
1120,28000000,-0.275
1160,29000000,-0.23809523809523808
1200,30000000,-0.375
1240,31000000,-0.35714285714285715
1280,32000000,-0.358974358974359
1320,33000000,-0.2857142857142857
1360,34000000,-0.15789473684210525
1400,35000000,-0.24390243902439024
1440,36000000,-0.3333333333333333
1480,37000000,-0.4222222222222222
1520,38000000,-0.3
1560,39000000,-0.2926829268292683
1600,40000000,-0.391304347826087
1640,41000000,-0.3333333333333333
1680,42000000,-0.3111111111111111
1720,43000000,-0.2
1760,44000000,-0.21052631578947367
1800,45000000,-0.3902439024390244
1840,46000000,-0.3404255319148936
1880,47000000,-0.3333333333333333
1920,48000000,-0.3
1960,49000000,-0.19444444444444445
2000,50000000,-0.23809523809523808
