training_iteration,timesteps_total,reward
40,1000000,0.0
80,2000000,-0.5
120,3000000,-32.0
160,4000000,-4.333333333333333
200,5000000,0.6666666666666666
240,6000000,-44.0
280,7000000,-42.0
320,8000000,4.0
360,9000000,2.3333333333333335
400,10000000,-43.0
440,11000000,5.5
480,12000000,-45.0
520,13000000,0.0
560,14000000,-3.6666666666666665
600,15000000,-42.0
640,16000000,-37.0
680,17000000,-42.0
720,18000000,-45.0
760,19000000,-33.0
800,20000000,-45.0
840,21000000,-0.6666666666666666
880,22000000,1.0
920,23000000,5.333333333333333
960,24000000,-28.0
1000,25000000,-4.0
1040,26000000,-25.0
1080,27000000,5.333333333333333
1120,28000000,-26.0
1160,29000000,-0.6666666666666666
1200,30000000,0.6666666666666666
1240,31000000,3.3333333333333335
1280,32000000,-27.0
1320,33000000,-40.0
1360,34000000,-6.0
1400,35000000,-43.0
1440,36000000,-41.0
1480,37000000,-1.0
1520,38000000,-0.5
1560,39000000,-44.0
1600,40000000,-2.3333333333333335
1640,41000000,5.0
1680,42000000,-44.0
1720,43000000,-41.0
1760,44000000,3.0
1800,45000000,3.5
1840,46000000,-4.666666666666667
1880,47000000,-2.0
1920,48000000,3.0
1960,49000000,7.666666666666667
2000,50000000,-44.0
