training_iteration,timesteps_total,reward
40,1000000,427.0388349514563
80,2000000,493.0275229357798
120,3000000,498.6792452830189
160,4000000,453.2432432432432
200,5000000,451.15384615384613
240,6000000,462.4770642201835
280,7000000,516.0194174757281
320,8000000,422.41525423728814
360,9000000,511.45
400,10000000,461.5566037735849
440,11000000,621.9135802469136
480,12000000,566.4516129032259
520,13000000,579.7727272727273
560,14000000,527.7777777777778
600,15000000,584.2441860465116
640,16000000,591.4516129032259
680,17000000,591.7647058823529
720,18000000,646.4880952380952
760,19000000,618.8202247191011
800,20000000,621.0714285714286
840,21000000,661.8023255813954
880,22000000,672.4404761904761
920,23000000,567.4725274725274
960,24000000,626.4117647058823
1000,25000000,668.7341772151899
1040,26000000,585.7865168539325
1080,27000000,632.9310344827586
1120,28000000,663.2278481012659
1160,29000000,661.7682926829268
1200,30000000,630.4117647058823
1240,31000000,636.5
1280,32000000,622.7710843373494
1320,33000000,611.9186046511628
1360,34000000,666.0365853658536
1400,35000000,688.1875
1440,36000000,750.8860759493671
1480,37000000,641.1363636363636
1520,38000000,677.8125
1560,39000000,690.9375
1600,40000000,660.8441558441558
1640,41000000,590.6593406593406
1680,42000000,675.7142857142857
1720,43000000,646.8072289156627
1760,44000000,703.9473684210526
1800,45000000,678.8271604938271
1840,46000000,646.4634146341464
1880,47000000,739.5394736842105
1920,48000000,681.418918918919
1960,49000000,663.1764705882352
2000,50000000,730.9722222222222
2040,51000000,762.6351351351351
2080,52000000,721.9871794871794
2120,53000000,714.4444444444445
2160,54000000,691.5822784810126
2200,55000000,765.6944444444445
2240,56000000,767.0833333333334
2280,57000000,704.7260273972603
2320,58000000,763.1410256410256
2360,59000000,703.75
2400,60000000,659.6153846153846
2440,61000000,749.5945945945946
2480,62000000,751.2837837837837
2520,63000000,773.5
2560,64000000,706.1038961038961
2600,65000000,693.3116883116883
2640,66000000,675.25
2680,67000000,730.506329113924
2720,68000000,700.0
2760,69000000,677.4691358024692
2800,70000000,698.2926829268292
2840,71000000,692.4691358024692
2880,72000000,692.3214285714286
2920,73000000,768.3802816901408
2960,74000000,766.4583333333334
3000,75000000,747.6923076923077
3040,76000000,720.1282051282051
3080,77000000,778.5135135135135
3120,78000000,719.8701298701299
3160,79000000,663.1976744186046
3200,80000000,736.3815789473684
3240,81000000,744.4230769230769
3280,82000000,706.2987012987013
3320,83000000,690.4320987654321
3360,84000000,766.7857142857143
3400,85000000,701.3461538461538
