training_iteration,timesteps_total,reward
40,1000000,-1.25
80,2000000,0.0
120,3000000,3.111111111111111
160,4000000,0.0
200,5000000,0.0
240,6000000,1.8333333333333333
280,7000000,1.0
320,8000000,-0.8571428571428571
360,9000000,2.0
400,10000000,-0.3333333333333333
440,11000000,2.0
480,12000000,0.0
520,13000000,-0.8333333333333334
560,14000000,-0.75
600,15000000,0.0
640,16000000,-0.3333333333333333
680,17000000,0.6666666666666666
720,18000000,1.0
760,19000000,-0.2857142857142857
800,20000000,0.3333333333333333
840,21000000,3.8
880,22000000,0.0
920,23000000,-0.3333333333333333
960,24000000,1.0
1000,25000000,-2.5
1040,26000000,0.7142857142857143
1080,27000000,-1.0
1120,28000000,1.3333333333333333
1160,29000000,0.3333333333333333
1200,30000000,-0.6666666666666666
1240,31000000,2.25
1280,32000000,1.6666666666666667
1320,33000000,2.8
1360,34000000,0.375
1400,35000000,-0.2857142857142857
1440,36000000,0.8
1480,37000000,-0.6666666666666666
1520,38000000,-1.6666666666666667
1560,39000000,-0.25
1600,40000000,1.6666666666666667
1640,41000000,-0.3333333333333333
1680,42000000,-0.5714285714285714
1720,43000000,0.6666666666666666
1760,44000000,2.0
1800,45000000,0.25
1840,46000000,-0.6
1880,47000000,1.0
1920,48000000,0.6666666666666666
1960,49000000,-0.3333333333333333
2000,50000000,1.7142857142857142
