training_iteration,timesteps_total,reward
40,1000000,7.176470588235294
80,2000000,7.5
120,3000000,8.631578947368421
160,4000000,3.357142857142857
200,5000000,8.555555555555555
240,6000000,9.368421052631579
280,7000000,7.833333333333333
320,8000000,8.277777777777779
360,9000000,7.9411764705882355
400,10000000,8.352941176470589
440,11000000,6.588235294117647
480,12000000,8.722222222222221
520,13000000,7.9411764705882355
560,14000000,8.277777777777779
600,15000000,9.277777777777779
640,16000000,7.9411764705882355
680,17000000,7.823529411764706
720,18000000,9.38888888888889
760,19000000,9.222222222222221
800,20000000,8.88888888888889
840,21000000,8.352941176470589
880,22000000,9.333333333333334
920,23000000,9.333333333333334
960,24000000,9.0
1000,25000000,9.473684210526315
1040,26000000,7.588235294117647
1080,27000000,8.235294117647058
1120,28000000,8.947368421052632
1160,29000000,8.444444444444445
1200,30000000,9.105263157894736
1240,31000000,8.0
1280,32000000,8.842105263157896
1320,33000000,8.555555555555555
1360,34000000,9.473684210526315
1400,35000000,9.176470588235293
1440,36000000,8.277777777777779
1480,37000000,8.352941176470589
1520,38000000,9.368421052631579
1560,39000000,8.842105263157896
1600,40000000,9.105263157894736
1640,41000000,9.222222222222221
1680,42000000,9.210526315789474
1720,43000000,9.0
1760,44000000,9.473684210526315
1800,45000000,9.157894736842104
1840,46000000,8.0
1880,47000000,9.68421052631579
1920,48000000,8.736842105263158
1960,49000000,8.88888888888889
2000,50000000,9.157894736842104
