training_iteration,timesteps_total,reward
40,1000000,8.0
80,2000000,1.0
120,3000000,0.0
160,4000000,6.0
200,5000000,18.0
240,6000000,12.0
280,7000000,11.0
320,8000000,13.333333333333334
360,9000000,13.666666666666666
400,10000000,13.625
440,11000000,15.142857142857142
480,12000000,13.0
520,13000000,12.125
560,14000000,10.0
600,15000000,14.666666666666666
640,16000000,13.125
680,17000000,15.11111111111111
720,18000000,17.375
760,19000000,16.0
800,20000000,17.285714285714285
840,21000000,16.0
880,22000000,12.4
920,23000000,15.8
960,24000000,13.875
1000,25000000,17.545454545454547
1040,26000000,15.222222222222221
1080,27000000,11.666666666666666
1120,28000000,16.444444444444443
1160,29000000,15.909090909090908
1200,30000000,14.2
1240,31000000,18.09090909090909
1280,32000000,17.375
1320,33000000,17.454545454545453
1360,34000000,3.0
1400,35000000,19.833333333333332
1440,36000000,14.125
1480,37000000,14.444444444444445
1520,38000000,17.0
1560,39000000,20.5
1600,40000000,18.75
1640,41000000,21.0
1680,42000000,18.272727272727273
1720,43000000,19.90909090909091
1760,44000000,20.46153846153846
1800,45000000,18.75
1840,46000000,20.46153846153846
1880,47000000,17.6
1920,48000000,19.076923076923077
1960,49000000,19.23076923076923
2000,50000000,21.0
