training_iteration,timesteps_total,reward
40,1000000,557.8947368421053
80,2000000,577.1929824561404
120,3000000,620.0
160,4000000,684.6153846153846
200,5000000,778.7234042553191
240,6000000,224.52830188679246
280,7000000,434.6938775510204
320,8000000,312.5
360,9000000,585.7142857142857
400,10000000,528.2608695652174
440,11000000,758.1818181818181
480,12000000,624.4897959183673
520,13000000,690.9090909090909
560,14000000,475.51020408163265
600,15000000,707.6923076923077
640,16000000,511.1111111111111
680,17000000,491.2280701754386
720,18000000,295.6521739130435
760,19000000,531.0344827586207
800,20000000,595.0
840,21000000,498.3606557377049
880,22000000,472.54901960784315
920,23000000,491.37931034482756
960,24000000,348.8888888888889
1000,25000000,473.6842105263158
1040,26000000,526.6666666666666
1080,27000000,685.9649122807018
1120,28000000,427.0833333333333
1160,29000000,316.3265306122449
1200,30000000,350.0
1240,31000000,271.875
1280,32000000,372.72727272727275
1320,33000000,329.3103448275862
1360,34000000,747.3684210526316
1400,35000000,855.1020408163265
1440,36000000,371.42857142857144
1480,37000000,788.0
1520,38000000,310.0
1560,39000000,305.7692307692308
1600,40000000,290.90909090909093
1640,41000000,497.8723404255319
1680,42000000,691.3793103448276
1720,43000000,226.78571428571428
1760,44000000,698.1818181818181
1800,45000000,721.4285714285714
1840,46000000,219.6078431372549
1880,47000000,508.8888888888889
1920,48000000,578.7234042553191
1960,49000000,352.72727272727275
2000,50000000,397.9591836734694
2040,51000000,413.72549019607845
2080,52000000,142.59259259259258
2120,53000000,291.48936170212767
2160,54000000,388.0
2200,55000000,240.4255319148936
2240,56000000,234.0
2280,57000000,451.0204081632653
2320,58000000,456.8627450980392
2360,59000000,442.5531914893617
2400,60000000,368.0851063829787
2440,61000000,726.9230769230769
2480,62000000,618.1818181818181
2520,63000000,548.9795918367347
2560,64000000,305.08474576271186
2600,65000000,620.0
2640,66000000,561.7021276595744
2680,67000000,325.45454545454544
2720,68000000,387.5
2760,69000000,491.37931034482756
2800,70000000,382.0
2840,71000000,300.0
2880,72000000,309.4339622641509
2920,73000000,433.9622641509434
2960,74000000,479.24528301886795
3000,75000000,750.9803921568628
3040,76000000,357.4074074074074
3080,77000000,292.85714285714283
3120,78000000,349.0566037735849
3160,79000000,563.6363636363636
3200,80000000,494.82758620689657
3240,81000000,347.82608695652175
3280,82000000,135.55555555555554
3320,83000000,324.56140350877195
3360,84000000,490.90909090909093
3400,85000000,466.07142857142856
