training_iteration,timesteps_total,reward
40,1060608,-1.1
80,2078720,-0.7
120,3092736,0.1
160,4109056,0.4
200,5126144,0.4
240,6144256,0.0
280,7164928,0.1
320,8183296,0.4
360,9197568,-0.7
400,10220544,-0.4
440,11235840,-0.4
480,12253952,0.5
520,13269248,0.1
560,14288640,0.7
600,15304960,-0.1
640,16324096,-0.1
680,17340416,-0.1
720,18360064,0.0
760,19374336,-0.7
800,20387328,-0.9
840,21401344,0.3
880,22412544,0.1
920,23422464,-0.3
960,24439296,0.9
1000,25451008,-0.4
1040,26461440,-0.9
1080,27476480,-0.1
1120,28493056,1.4
1160,29506560,-0.2
1200,30520576,0.0
1240,31531776,-0.7
1280,32545792,0.5
1320,33559040,0.8
1360,34574848,0.5
1400,35582720,0.4
1440,36597504,-0.4
1480,37609984,0.2
1520,38619904,0.3
1560,39632640,-0.1
1600,40643584,-1.0
1640,41656320,0.7
1680,42670336,-0.4
1720,43685888,0.1
1760,44697344,-0.6
1800,45707776,-0.3
1840,46721024,0.7
1880,47729920,-0.5
1920,48745216,0.4
1960,49755392,0.3
2000,50768896,-0.6
