training_iteration,timesteps_total,reward
40,1062656,0.0
80,2071808,0.0
120,3083264,0.0
160,4095488,0.0
200,5105920,0.0
240,6113792,0.015873015873015872
280,7123968,0.01694915254237288
320,8135168,0.0
360,9143552,0.0
400,10151680,0.016666666666666666
440,11160320,0.016666666666666666
480,12168960,0.0
520,13178368,0.0
560,14187520,0.0
600,15197952,0.0
640,16207104,0.0
680,17214720,0.017241379310344827
720,18223616,0.0
760,19234304,0.0
800,20246272,0.01639344262295082
840,21259264,0.0
880,22268160,0.0
920,23276800,0.015873015873015872
960,24287232,0.03389830508474576
1000,25294848,0.03225806451612903
1040,26302208,0.0
1080,27309312,0.016666666666666666
1120,28318208,0.0
1160,29327616,0.0
1200,30336256,0.0
1240,31346176,0.016666666666666666
1280,32356096,0.0
1320,33366528,0.0
1360,34375424,0.016129032258064516
1400,35384064,0.0
1440,36392448,0.03278688524590164
1480,37402112,0.015873015873015872
1520,38409728,0.016666666666666666
1560,39419904,0.03333333333333333
1600,40428288,0.01694915254237288
1640,41436416,0.01694915254237288
1680,42443520,0.01639344262295082
1720,43451136,0.0
1760,44458496,0.016129032258064516
1800,45467136,0.01694915254237288
1840,46478848,0.03225806451612903
1880,47485440,0.0
1920,48495104,0.0
1960,49504512,0.0
2000,50512640,0.0
