training_iteration,timesteps_total,reward
40,1893376,0.42857142857142855
80,2901504,-0.5714285714285714
120,3913728,-0.8571428571428571
160,4928512,1.4285714285714286
200,5943552,-0.2857142857142857
240,6958592,-0.8571428571428571
280,7970048,0.7142857142857143
320,8986880,-0.5714285714285714
360,9999104,0.8571428571428571
400,11015168,0.5
440,12034048,-0.8571428571428571
480,13046272,-0.5714285714285714
520,14058752,1.25
560,15073024,-1.25
600,16084992,1.1428571428571428
640,17096448,-0.42857142857142855
680,18111232,0.75
720,19127040,-1.0
760,20139264,0.25
800,21151488,-0.14285714285714285
840,22163200,-0.8571428571428571
880,23177472,1.5714285714285714
920,24191744,-0.625
960,25204992,0.0
1000,26216192,1.7142857142857142
1040,27230208,-0.375
1080,28243968,-0.5714285714285714
1120,29254656,0.2857142857142857
1160,30268672,0.5714285714285714
1200,31281920,0.2857142857142857
1240,32295424,-1.7142857142857142
1280,33311232,0.0
1320,34326016,0.125
1360,35340544,-0.42857142857142855
1400,36351232,0.14285714285714285
1440,37362432,-2.142857142857143
1480,38373632,-1.0
1520,39383552,0.2857142857142857
1560,40396544,0.5714285714285714
1600,41410560,0.7142857142857143
1640,42426368,-0.25
1680,43440384,-0.42857142857142855
1720,44451328,-0.42857142857142855
1760,45463040,0.0
1800,46478848,1.125
1840,47491840,1.5
1880,48504064,0.8571428571428571
1920,49519104,-0.8571428571428571
1960,50533888,0.42857142857142855
2000,51545088,0.2857142857142857
