training_iteration,timesteps_total,reward
40,1056256,4828.571428571428
80,2063616,5488.0952380952385
120,3071744,3002.0833333333335
160,4078592,4527.272727272727
200,5087488,5071.428571428572
240,6095104,5552.631578947368
280,7102976,4113.636363636364
320,8110080,4326.315789473684
360,9117184,6202.631578947368
400,10125568,5840.0
440,11133952,5142.857142857143
480,12141056,6068.421052631579
520,13149184,6452.777777777777
560,14156800,4634.090909090909
600,15164928,4027.2727272727275
640,16172800,4544.444444444444
680,17179392,4972.727272727273
720,18186752,4380.952380952381
760,19194624,5547.5
800,20203008,4950.0
840,21211648,4369.047619047619
880,22219776,6342.857142857143
920,23226880,4640.0
960,24235520,4884.090909090909
1000,25243648,5697.5
1040,26251776,4634.210526315789
1080,27259648,4835.714285714285
1120,28267520,4907.142857142857
1160,29276160,4700.0
1200,30284800,4817.5
1240,31291648,4821.428571428572
1280,32300032,4579.166666666667
1320,33307904,5995.238095238095
1360,34315264,5243.181818181818
1400,35323648,6550.0
1440,36331008,4281.818181818182
1480,37339136,5640.0
1520,38346752,5788.0952380952385
1560,39353600,5821.428571428572
1600,40361216,4678.571428571428
1640,41368320,5385.0
1680,42375936,5100.0
1720,43383296,6128.571428571428
1760,44391168,3840.4761904761904
1800,45398784,5070.454545454545
1840,46431744,4557.5
1880,47440640,4685.714285714285
1920,48448768,6092.105263157895
1960,49454592,5400.0
2000,50462208,5876.190476190476
