training_iteration,timesteps_total,reward
40,1059840,-27.5
80,2066944,-25.5
120,3076096,-61.0
160,4082688,-52.0
200,5089280,-28.5
240,6096128,-86.0
280,7102976,-32.0
320,8109312,-62.0
360,9115648,-72.0
400,10122752,-30.0
440,11129856,-41.0
480,12136960,-28.5
520,13143296,-79.0
560,14151424,-13.0
600,15157760,-6.0
640,16165120,-58.0
680,17172224,-20.0
720,18178816,-29.0
760,19185664,-62.0
800,20192256,-16.0
840,21200384,-47.0
880,22206720,-26.0
920,23213824,-35.0
960,24219136,-78.0
1000,25226496,-35.0
1040,26233344,-32.0
1080,27240448,-53.0
1120,28247808,-49.0
1160,29255936,-56.0
1200,30262784,-59.0
1240,31269632,-79.0
1280,32276736,-62.0
1320,33285120,-67.0
1360,34291968,-73.0
1400,35297536,-99.0
1440,36306176,-30.0
1480,37313280,-13.0
1520,38319872,-40.0
1560,39327488,-58.0
1600,40338432,-66.0
1640,41346048,-69.0
1680,42354432,-80.0
1720,43366144,-74.0
1760,44374784,-77.0
1800,45383424,-28.0
1840,46392064,-36.0
1880,47398144,-54.0
1920,48406784,-28.0
1960,49415936,-44.0
2000,50423552,-58.0
