training_iteration,timesteps_total,reward
40,1063424,2.6875
80,2076416,6.733333333333333
120,3089920,-0.9333333333333333
160,4100096,1.9333333333333333
200,5112064,1.0
240,6121984,4.875
280,7135232,-1.1875
320,8149760,3.2
360,9161984,6.0625
400,10170624,1.5333333333333334
440,11182592,2.5
480,12191488,0.2
520,13201408,3.2666666666666666
560,14212864,7.470588235294118
600,15222528,1.625
640,16234752,0.875
680,17246464,-2.1333333333333333
720,18257408,3.466666666666667
760,19271424,2.8666666666666667
800,20285952,1.8571428571428572
840,21296640,7.6875
880,22307584,3.357142857142857
920,23319040,-1.7333333333333334
960,24334848,0.6666666666666666
1000,25349632,-1.8571428571428572
1040,26356480,0.4666666666666667
1080,27369472,-2.8666666666666667
1120,28379648,-0.875
1160,29391360,7.875
1200,30400768,2.6
1240,31413760,1.0625
1280,32425728,-1.0666666666666667
1320,33436416,8.6875
1360,34449664,-0.3333333333333333
1400,35462144,2.7142857142857144
1440,36473088,4.0
1480,37484544,0.6666666666666666
1520,38496000,2.2
1560,39511296,2.1875
1600,40524288,2.2142857142857144
1640,41536512,3.0
1680,42550784,2.642857142857143
1720,43563520,1.8666666666666667
1760,44575232,1.8125
1800,45588992,1.6666666666666667
1840,46600192,1.5333333333333334
1880,47611648,3.25
1920,48623360,2.466666666666667
1960,49636096,0.5
2000,50646272,2.066666666666667
