training_iteration,timesteps_total,reward
40,1059840,435.93023255813955
80,2072576,389.80392156862746
120,3087360,372.02127659574467
160,4100096,409.7916666666667
200,5113600,394.0217391304348
240,6125056,364.5348837209302
280,7136512,407.9591836734694
320,8151296,405.55555555555554
360,9168896,391.27659574468083
400,10180096,384.7
440,11196672,361.8085106382979
480,12210176,420.9574468085106
520,13220352,410.8695652173913
560,14231808,406.5217391304348
600,15249920,403.5416666666667
640,16264960,413.72340425531917
680,17274880,376.2
720,18289920,400.6818181818182
760,19304704,378.36538461538464
800,20319744,412.55555555555554
840,21337088,422.60869565217394
880,22351872,421.0
920,23361792,376.44444444444446
960,24375040,443.22222222222223
1000,25389824,378.1
1040,26404096,385.19607843137254
1080,27417344,398.3673469387755
1120,28430592,433.93617021276594
1160,29442048,421.1224489795918
1200,30453504,419.5744680851064
1240,31464704,461.5
1280,32473088,436.77777777777777
1320,33487616,395.1041666666667
1360,34497024,395.1020408163265
1400,35508736,401.2244897959184
1440,36519680,438.2
1480,37532416,421.6666666666667
1520,38548992,361.9387755102041
1560,39563008,453.4375
1600,40575744,415.55555555555554
1640,41585664,378.3
1680,42598912,445.90909090909093
1720,43608832,400.32608695652175
1760,44623872,403.46938775510205
1800,45638912,432.2826086956522
1840,46651904,401.8085106382979
1880,47663616,419.30232558139534
1920,48674560,398.75
1960,49688832,386.6
2000,50700288,368.6458333333333
