training_iteration,timesteps_total,reward
40,1059328,0.5714285714285714
80,2076160,-0.13333333333333333
120,3086848,0.13333333333333333
160,4097280,-0.21428571428571427
200,5110272,0.5
240,6124544,-0.35714285714285715
280,7135232,-0.15384615384615385
320,8148224,0.35714285714285715
360,9158144,-1.6
400,10168576,-0.5
440,11179008,1.0666666666666667
480,12188160,-0.2857142857142857
520,13201152,1.1333333333333333
560,14213632,-0.42857142857142855
600,15224576,0.5333333333333333
640,16236288,-1.1428571428571428
680,17248768,2.0
720,18257664,-0.2857142857142857
760,19265792,-0.7142857142857143
800,20275968,0.5333333333333333
840,21290240,0.6
880,22299392,0.8
920,23310592,-0.21428571428571427
960,24324096,-2.357142857142857
1000,25335552,-0.5714285714285714
1040,26348032,-0.4666666666666667
1080,27358464,0.5714285714285714
1120,28369920,-1.7142857142857142
1160,29381888,0.8
1200,30394880,-0.23076923076923078
1240,31404288,1.6
1280,32415232,-0.26666666666666666
1320,33426176,-0.9333333333333333
1360,34438400,-0.8666666666666667
1400,35455488,-0.9333333333333333
1440,36464896,0.6923076923076923
1480,37477632,-1.3846153846153846
1520,38489856,1.8571428571428572
1560,39504128,-0.8
1600,40512512,0.14285714285714285
1640,41522432,-0.5
1680,42532352,-1.0
1720,43544320,-1.9285714285714286
1760,44560128,-0.07142857142857142
1800,45570304,-1.0666666666666667
1840,46579456,-0.6428571428571429
1880,47592704,-2.466666666666667
1920,48603904,1.5714285714285714
1960,49615104,-1.2142857142857142
2000,50627328,0.8571428571428571
