training_iteration,timesteps_total,reward
40,1065728,-2.3333333333333335
80,2080256,-0.3333333333333333
120,3091712,-1.6666666666666667
160,4106240,-4.0
200,5117952,1.3333333333333333
240,6127360,-1.3333333333333333
280,7142656,-5.0
320,8154368,-6.666666666666667
360,9166592,1.0
400,10182912,-2.5
440,11195392,-3.0
520,13223424,0.0
560,14238720,3.3333333333333335
600,15253760,-4.333333333333333
680,17287424,-5.333333333333333
720,18303488,1.0
760,19315200,1.5
800,20329984,-3.0
840,21344256,-3.0
880,22356736,-3.0
920,23372032,-1.5
960,24388096,1.6666666666666667
1000,25398784,0.3333333333333333
1040,26412288,2.0
1080,27427328,1.0
1120,28442112,0.6666666666666666
1160,29456128,0.6666666666666666
1200,30470144,3.3333333333333335
1240,31485696,4.0
1280,32499456,-3.6666666666666665
1320,33513472,0.0
1360,34525696,-3.3333333333333335
1400,35540224,1.3333333333333333
1440,36552704,-3.3333333333333335
1480,37563904,-2.0
1520,38576896,0.5
1560,39593472,-4.0
1600,40607488,4.666666666666667
1640,41619456,-0.6666666666666666
1680,42632960,-2.5
1720,43649280,-1.0
1760,44668672,2.0
1800,45681664,1.0
1840,46694656,-2.3333333333333335
1880,47707136,0.6666666666666666
1920,48721920,-4.0
1960,49735168,0.5
2000,50747904,-2.0
