training_iteration,timesteps_total,reward
40,1149440,-8.0
80,2165760,-11.0
120,3182592,9.0
160,4195072,-4.0
200,5208320,4.0
240,6226944,-1.0
280,7243008,0.0
320,8259328,-6.0
360,9273088,8.0
400,10283264,5.0
440,11296256,-18.0
480,12307456,-5.0
520,13320448,-21.0
560,14335232,-9.0
600,15348992,-8.0
640,16363008,0.0
680,17376000,8.0
720,18390016,-1.0
760,19399424,-6.0
800,20415488,-7.5
840,21429760,8.0
880,22444032,-4.0
920,23461120,10.0
960,24473600,-6.0
1000,25486080,-3.0
1040,26499072,1.0
1080,27511808,-14.0
1120,28525568,-68.0
1160,29541376,-2.0
1200,30555136,-7.0
1240,31568896,12.0
1280,32583168,-9.0
1320,33594880,14.0
1360,34613504,-1.0
1400,35627520,-1.5
1440,36639744,-10.0
1480,37652736,-19.0
1520,38669056,-24.0
1560,39686656,-22.0
1600,40699392,-9.0
1640,41715200,-12.0
1680,42728192,5.0
1720,43741696,-11.0
1760,44756480,1.0
1800,45768192,-9.0
1840,46781440,-7.0
1880,47794688,-11.0
1920,48807168,2.0
1960,49821696,-9.0
2000,50833152,-37.0
