training_iteration,timesteps_total,reward
40,1055744,1140.0
80,2064896,468.42105263157896
120,3073024,413.3333333333333
160,4079872,525.0
200,5087744,806.25
240,6096640,522.2222222222222
280,7103744,612.5
320,8110848,522.2222222222222
360,9121792,873.3333333333334
400,10131456,684.2105263157895
440,11141120,694.4444444444445
480,12150528,547.3684210526316
520,13157888,857.1428571428571
560,14164224,600.0
600,15173120,365.0
640,16180224,506.25
680,17186816,513.3333333333334
720,18195200,800.0
760,19204864,858.8235294117648
800,20212480,893.3333333333334
840,21221376,1106.6666666666667
880,22228480,383.3333333333333
920,23237376,547.0588235294117
960,24243968,787.5
1000,25252608,523.5294117647059
1040,26260224,1094.1176470588234
1080,27267840,814.2857142857143
1120,28275456,581.25
1160,29283072,1276.923076923077
1200,30289664,531.578947368421
1240,31299328,752.6315789473684
1280,32308992,862.5
1320,33316096,327.77777777777777
1360,34324736,362.5
1400,35333120,570.5882352941177
1440,36343296,447.36842105263156
1480,37352448,529.4117647058823
1520,38361088,625.0
1560,39369216,388.2352941176471
1600,40379392,594.1176470588235
1640,41387776,635.2941176470588
1680,42394880,650.0
1720,43402752,583.3333333333334
1760,44409600,544.4444444444445
1800,45421824,462.5
1840,46428928,693.3333333333334
1880,47439360,415.7894736842105
1920,48446208,570.5882352941177
1960,49451776,693.3333333333334
2000,50458112,586.6666666666666
